Date,Open,High,Low,Close,Volume
4/6/2017 16:00:00,2353.79,2364.16,2348.9,2357.49,863231831
4/7/2017 16:00:00,2356.59,2363.76,2350.74,2355.54,656990521
4/10/2017 16:00:00,2357.16,2366.37,2351.5,2357.16,546587089
4/11/2017 16:00:00,2353.92,2355.22,2337.25,2353.78,743787790
4/12/2017 16:00:00,2352.15,2352.72,2341.18,2344.93,824168461
4/13/2017 16:00:00,2341.98,2348.26,2328.95,2328.95,691005538
4/17/2017 16:00:00,2332.62,2349.14,2332.51,2349.01,552521898
4/18/2017 16:00:00,2342.53,2348.35,2334.54,2342.19,829728921
4/19/2017 16:00:00,2346.79,2352.63,2335.05,2338.17,873090926
4/20/2017 16:00:00,2342.69,2361.37,2340.91,2355.84,1015974407
4/21/2017 16:00:00,2354.74,2356.18,2344.51,2348.69,2071759000
4/24/2017 16:00:00,2370.33,2376.98,2369.19,2374.15,2248662130
4/25/2017 16:00:00,2381.51,2392.48,2381.15,2388.61,2304916837
4/26/2017 16:00:00,2388.98,2398.16,2386.76,2387.45,2223615893
4/27/2017 16:00:00,2389.7,2392.1,2382.68,2388.77,2205559179
4/28/2017 16:00:00,2393.68,2393.68,2382.36,2384.2,2239464723
5/1/2017 16:00:00,2388.5,2394.49,2384.83,2388.33,819261658
5/2/2017 16:00:00,2391.05,2392.93,2385.82,2391.17,2371688652
5/3/2017 16:00:00,2386.5,2389.82,2379.75,2388.13,2270224276
5/4/2017 16:00:00,2389.79,2391.43,2380.35,2389.52,2236620277
5/5/2017 16:00:00,2392.37,2399.29,2389.38,2399.29,750048053
5/8/2017 16:00:00,2399.94,2401.36,2393.92,2399.38,1845375125
5/9/2017 16:00:00,2401.58,2403.87,2392.44,2396.92,1855962757
5/10/2017 16:00:00,2396.79,2399.74,2392.79,2399.63,1985193441
5/11/2017 16:00:00,2394.84,2395.72,2381.74,2394.44,2024699568
5/12/2017 16:00:00,2392.44,2392.44,2387.19,2390.9,1786639028
5/15/2017 16:00:00,2393.98,2404.05,2393.94,2402.32,1896371278
5/16/2017 16:00:00,2404.55,2405.77,2396.05,2400.67,2039120191
5/17/2017 16:00:00,2382.95,2384.87,2356.21,2357.03,2717638993
5/18/2017 16:00:00,2354.69,2375.74,2352.72,2365.72,2308543266
5/19/2017 16:00:00,2371.37,2389.06,2370.43,2381.73,2249727653
5/22/2017 16:00:00,2387.21,2395.46,2386.92,2394.02,1858438550
5/23/2017 16:00:00,2397.04,2400.85,2393.88,2398.42,1770956038
5/24/2017 16:00:00,2401.41,2405.58,2397.99,2404.39,1797590258
5/25/2017 16:00:00,2409.54,2418.71,2408.01,2415.07,2010590494
5/26/2017 16:00:00,2414.5,2416.68,2412.2,2415.82,1524512471
5/30/2017 16:00:00,2411.67,2415.26,2409.43,2412.91,1776698945
5/31/2017 16:00:00,2415.63,2415.99,2403.59,2411.8,2610801638
6/1/2017 16:00:00,2415.65,2430.06,2413.54,2430.06,2156064796
6/2/2017 16:00:00,2431.28,2440.23,2427.71,2439.07,2017388178
6/5/2017 16:00:00,2437.83,2439.55,2434.32,2436.1,1742362529
6/6/2017 16:00:00,2431.92,2436.21,2428.12,2429.33,1972388344
6/7/2017 16:00:00,2432.03,2435.28,2424.75,2433.14,2087405916
6/8/2017 16:00:00,2434.27,2439.27,2427.94,2433.79,2247662987
6/9/2017 16:00:00,2436.39,2446.2,2415.7,2431.77,2624857734
6/12/2017 16:00:00,2425.88,2430.38,2419.97,2429.39,2715835496
6/13/2017 16:00:00,2434.15,2441.49,2431.28,2440.35,2078679924
6/14/2017 16:00:00,2443.75,2443.75,2428.34,2437.92,2077560864
6/15/2017 16:00:00,2424.14,2433.95,2418.53,2432.46,2056413023
6/16/2017 16:00:00,2431.24,2433.15,2422.88,2433.15,3474905593
6/19/2017 16:00:00,2442.55,2453.82,2441.79,2453.46,1881642580
6/20/2017 16:00:00,2450.66,2450.66,2436.6,2437.03,1981272777
6/21/2017 16:00:00,2439.31,2442.23,2430.74,2435.61,2194972916
6/22/2017 16:00:00,2437.4,2441.62,2433.27,2434.5,1975028145
6/23/2017 16:00:00,2434.65,2441.4,2431.11,2438.3,2954290817
6/26/2017 16:00:00,2443.32,2450.42,2437.03,2439.07,1807411392
6/27/2017 16:00:00,2436.34,2440.15,2419.38,2419.38,2029472171
6/28/2017 16:00:00,2428.7,2442.97,2428.02,2440.69,1978838398
6/29/2017 16:00:00,2442.38,2442.73,2405.7,2419.7,2437153407
6/30/2017 16:00:00,2429.2,2432.71,2421.65,2423.41,2068473232
7/3/2017 16:00:00,2431.39,2439.17,2428.69,2429.01,1196618815
7/5/2017 16:00:00,2430.78,2434.9,2422.05,2432.54,2001771783
7/6/2017 16:00:00,2423.44,2424.28,2407.7,2409.75,2021300572
7/7/2017 16:00:00,2413.52,2426.92,2413.52,2425.18,1668167766
7/10/2017 16:00:00,2424.51,2432,2422.27,2427.43,1767990685
7/11/2017 16:00:00,2427.35,2429.3,2412.79,2425.53,1732498090
7/12/2017 16:00:00,2435.75,2445.76,2435.75,2443.25,1856436041
7/13/2017 16:00:00,2444.99,2449.32,2441.69,2447.83,1845640421
7/14/2017 16:00:00,2449.16,2463.54,2446.69,2459.27,1667639471
7/17/2017 16:00:00,2459.5,2462.82,2457.16,2459.14,1655943312
7/18/2017 16:00:00,2455.88,2460.92,2450.34,2460.61,1750952401
7/19/2017 16:00:00,2463.85,2473.83,2463.85,2473.83,1849694295
7/20/2017 16:00:00,2475.56,2477.62,2468.43,2473.45,1993809051
7/21/2017 16:00:00,2467.4,2472.54,2465.06,2472.54,1946504700
7/24/2017 16:00:00,2472.04,2473.1,2466.32,2469.91,1943950654
7/25/2017 16:00:00,2477.88,2481.24,2474.91,2477.13,2373901996
7/26/2017 16:00:00,2479.97,2481.69,2474.94,2477.83,2261843215
7/27/2017 16:00:00,2482.76,2484.04,2459.93,2475.42,2677231030
7/28/2017 16:00:00,2469.12,2473.53,2464.66,2472.1,2043353625
7/31/2017 16:00:00,2475.94,2477.96,2468.53,2470.3,2189633778
8/1/2017 16:00:00,2477.1,2478.51,2471.14,2476.35,2076284140
8/2/2017 16:00:00,2480.38,2480.38,2466.48,2477.57,2125483668
8/3/2017 16:00:00,2476.03,2476.03,2468.85,2472.16,2039487376
8/4/2017 16:00:00,2476.88,2480,2472.08,2476.83,1869113813
8/7/2017 16:00:00,2477.14,2480.95,2475.88,2480.91,1639568452
8/8/2017 16:00:00,2478.35,2490.87,2470.32,2474.92,1826290700
8/9/2017 16:00:00,2465.35,2474.41,2462.08,2474.02,1821056073
8/10/2017 16:00:00,2465.38,2465.38,2437.75,2438.21,2079314829
8/11/2017 16:00:00,2441.04,2448.09,2437.85,2441.32,1659262568
8/14/2017 16:00:00,2454.96,2468.22,2454.96,2465.84,1586223587
8/15/2017 16:00:00,2468.66,2468.9,2461.61,2464.61,1689633539
8/16/2017 16:00:00,2468.63,2474.93,2463.86,2468.11,1686069913
8/17/2017 16:00:00,2462.95,2465.02,2430.01,2430.01,1929351131
8/18/2017 16:00:00,2427.64,2440.27,2420.69,2425.55,1962081325
8/21/2017 16:00:00,2425.5,2430.58,2417.35,2428.37,1635773789
8/22/2017 16:00:00,2433.75,2454.77,2433.67,2452.51,1588713900
8/23/2017 16:00:00,2444.88,2448.91,2441.42,2444.04,1583454204
8/24/2017 16:00:00,2447.91,2450.39,2436.19,2438.97,1678956575
8/25/2017 16:00:00,2444.72,2453.96,2442.22,2443.05,1500901045
8/28/2017 16:00:00,2447.35,2449.12,2439.03,2444.24,1466541776
8/29/2017 16:00:00,2431.94,2449.19,2428.2,2446.3,1503811225
8/30/2017 16:00:00,2446.06,2460.31,2443.77,2457.59,1552245818
8/31/2017 16:00:00,2462.65,2475.01,2462.65,2471.65,2076949466
9/1/2017 16:00:00,2474.42,2480.38,2473.85,2476.55,1581548754
9/5/2017 16:00:00,2470.35,2471.97,2446.55,2457.85,2114362534
9/6/2017 16:00:00,2463.83,2469.64,2459.2,2465.54,2049759055
